"Provincia","Municipio","Direccion","RazonSocial","PuntosToma","NivelTension","Distribuidora"
"VALENCIA/VALÈNCIA","València","AVENIDA PRIMADO REIG ,76","FRANCISCO RIPOLL S.L.","1","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"VALENCIA/VALÈNCIA","València","AVENIDA ARAGON ,30","IBERDROLA CLIENTES SOCIEDAD ANONIMA","2","400","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"ZAMORA","Zamora","AVENIDA CARDENAL CISNEROS ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","400230","IBERDROLA DISTRIBUCION ELECTRICA, S.A."
"BARCELONA","Terrassa","CALLE MIÑO ,112","SOCIEDAD ESPAÑOLA DE CONSTRUCCIONES ELECTRICAS SA","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"BARCELONA","Tona","CARRETERA MANRESA ,2","ESTABANELL Y PAHISA MERCATOR, S.A.","2","230","ESTABANELL Y PAHISA ENERGIA, S.A."
"ZARAGOZA","Zaragoza","AUTOVIA LOGROÑO ,300","ZOILO RIOS, S.A.","1","400","ENDESA ENERGIA, S.A.U."
"ZARAGOZA","Zaragoza","POLIGONO 122 ,PARCELA 6","TESLA SPAIN SLU","10","480","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ZARAGOZA","Zaragoza","AVENIDA CASABLANCA (VIA PARQUE ,11","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ZARAGOZA","Zaragoza","CALLE CAMINO DE LAS TORRES ,4","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ZARAGOZA","Zaragoza","CALLE RAMÓN PIGNATELLI  ,128","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","10","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ZARAGOZA","Zaragoza","CALLE RAMÓN Y CAJAL  ,58","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","2","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ZARAGOZA","Zaragoza","CALLE DOCTOR FLEMING ,2","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ZARAGOZA","Zaragoza","CALLE PEDRO JOAQUÍN SOLER ,28","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","230","ENDESA DISTRIBUCION ELECTRICA, S.L."
"ZARAGOZA","Zaragoza","PARQUE PARQUE MACANAZ ,S/N","IBIL Gestor de Carga del Vehículo Eléctrico, S.A.","1","400","ENDESA DISTRIBUCION ELECTRICA, S.L."
